20,89,0.00
40,89,15.58
60,89,23.38
80,89,15.58
100,89,46.75
120,89,38.96
140,89,46.75
160,89,38.96
180,89,54.55
200,89,62.34
220,89,62.34
240,89,85.71
260,89,70.13
280,89,62.34
300,89,77.92
320,89,62.34
340,89,85.71
360,89,62.34
380,89,77.92
400,89,62.34
420,89,77.92
440,89,85.71
460,89,77.92
480,89,70.13
500,89,85.71
520,89,85.71
540,89,70.13
560,89,85.71
580,89,85.71
600,89,77.92
620,89,85.71
640,89,85.71
660,89,85.71
680,89,93.51
700,89,54.55
720,89,70.13
740,89,93.51
760,89,85.71
780,89,85.71
800,89,85.71
820,89,93.51
840,89,85.71
860,89,93.51
880,89,85.71
900,89,77.92
920,89,93.51
940,89,93.51
960,89,85.71
980,89,93.51
1000,89,85.71
1020,89,85.71
1040,89,93.51
1060,89,85.71
1080,89,77.92
1100,89,85.71
1120,89,93.51
1140,89,93.51
1160,89,77.92
1180,89,85.71
1200,89,93.51
1220,89,70.13
1240,89,85.71
1260,89,77.92
1280,89,77.92
1300,89,93.51
1320,89,85.71
1340,89,85.71
1360,89,85.71
1380,89,85.71
1400,89,101.30
1420,89,85.71
1440,89,93.51
1460,89,93.51
1480,89,101.30
1500,89,85.71
1520,89,93.51
1540,89,85.71
1560,89,85.71
1580,89,93.51
1600,89,85.71
1620,89,93.51
1640,89,85.71
1660,89,93.51
1680,89,93.51
1700,89,93.51
1720,89,77.92
1740,89,85.71
1760,89,101.30
1780,89,93.51
1800,89,93.51
1820,89,93.51
1840,89,85.71
1860,89,85.71
1880,89,93.51
1900,89,85.71
1920,89,93.51
1940,89,85.71
1960,89,85.71
1980,89,93.51
2000,89,85.71
2020,89,85.71
2040,89,85.71
2060,89,77.92
2080,89,77.92
2100,89,93.51
2120,89,93.51
2140,89,93.51
2160,89,93.51
2180,89,77.92
2200,89,85.71
2220,89,77.92
2240,89,93.51
2260,89,85.71
2280,89,93.51
2300,89,93.51
2320,89,70.13
2340,89,85.71
2360,89,85.71
2380,89,85.71
2400,89,93.51
2420,89,93.51
2440,89,85.71
2460,89,93.51
2480,89,93.51
2500,89,85.71
2520,89,93.51
2540,89,85.71
2560,89,93.51
2580,89,62.34
2600,89,93.51
2620,89,93.51
2640,89,93.51
2660,89,93.51
2680,89,85.71
2700,89,85.71
2720,89,93.51
2740,89,93.51
2760,89,93.51
2780,89,93.51
2800,89,93.51
2820,89,77.92
2840,89,85.71
2860,89,93.51
2880,89,85.71
2900,89,77.92
2920,89,93.51
2940,89,93.51
2960,89,85.71
2980,89,85.71
3000,89,93.51
3020,89,93.51
3040,89,93.51
3060,89,93.51
3080,89,93.51
3100,89,93.51
3120,89,77.92
3140,89,93.51
3160,89,70.13
3180,89,93.51
3200,89,77.92
3220,89,93.51
3240,89,77.92
3260,89,85.71
3280,89,85.71
3300,89,93.51
3320,89,77.92
3340,89,93.51
3360,89,85.71
3380,89,85.71
3400,89,93.51
3420,89,85.71
3440,89,93.51
3460,89,85.71
3480,89,93.51
3500,89,93.51
3520,89,77.92
3540,89,93.51
3560,89,85.71
3580,89,93.51
3600,89,93.51
3620,89,85.71
3640,89,101.30
3660,89,93.51
3680,89,93.51
3700,89,85.71
3720,89,85.71
3740,89,93.51
3760,89,93.51
3780,89,93.51
3800,89,93.51
3820,89,93.51
3840,89,85.71
3860,89,77.92
3880,89,85.71
3900,89,85.71
3920,89,93.51
3940,89,85.71
3960,89,77.92
3980,89,93.51
4000,89,85.71
4020,89,77.92
4040,89,85.71
4060,89,93.51
4080,89,85.71
4100,89,85.71
4120,89,85.71
4140,89,77.92
4160,89,85.71
4180,89,85.71
4200,89,93.51
4220,89,93.51
4240,124,85.71
4260,124,101.30
4280,124,101.30
4300,124,101.30
4320,124,109.09
4340,124,109.09
4360,124,101.30
4380,124,116.88
4400,124,109.09
4420,124,109.09
4440,124,116.88
4460,124,101.30
4480,124,124.68
4500,124,109.09
4520,124,109.09
4540,124,116.88
4560,124,116.88
4580,124,116.88
4600,124,124.68
4620,124,116.88
4640,124,116.88
4660,124,116.88
4680,124,109.09
4700,124,109.09
4720,124,109.09
4740,124,116.88
4760,124,93.51
4780,124,124.68
4800,124,132.47
4820,124,116.88
4840,124,116.88
4860,124,124.68
4880,124,109.09
4900,124,109.09
4920,124,132.47
4940,124,116.88
4960,124,116.88
4980,124,124.68
5000,124,116.88
5020,124,116.88
5040,124,116.88
5060,124,116.88
5080,124,124.68
5100,124,116.88
5120,124,109.09
5140,124,101.30
5160,124,124.68
5180,124,109.09
5200,124,116.88
5220,124,124.68
5240,124,101.30
5260,124,109.09
5280,124,101.30
5300,124,124.68
